top - 15:02:04 up  3:06,  1 user,  load average: 0.15, 0.36, 0.58
Tasks: 254 total,   1 running, 252 sleeping,   1 stopped,   0 zombie
%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7882.5 total,    215.0 free,   5098.6 used,   2568.9 buff/cache
MiB Swap:    976.0 total,    963.0 free,     13.0 used.   1976.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1978 dhruv     20   0  807700  58696  45936 S   0.0   0.7   0:00.46 evolution-alarm
   1984 dhruv     20   0  350212  23432  17984 S   0.0   0.3   0:00.37 xdg-desktop-por
   1994 dhruv     20   0  232260   7220   5548 S   0.0   0.1   0:00.05 gsd-disk-utilit
   2009 dhruv     20   0  113160  23048  16552 S   0.0   0.3   0:00.24 ibus-extension-
   2057 dhruv     20   0  908612 189040  47796 S   0.0   2.3   0:12.76 snap-store
   2071 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u17:1
   3685 dhruv     20   0  500148  29108  22752 S   0.0   0.4   0:00.65 update-notifier
   5036 dhruv     20   0   20160   5452   3544 S   0.0   0.1   0:00.48 bash
   5159 root      20   0       0      0      0 I   0.0   0.0   0:02.17 kworker/3:0-events
   5503 root      20   0       0      0      0 I   0.0   0.0   0:02.65 kworker/u16:5-i915
   5505 root      20   0       0      0      0 I   0.0   0.0   0:02.90 kworker/u16:7-kcryptd/253:0
   5514 root      20   0       0      0      0 I   0.0   0.0   0:03.43 kworker/2:3-events
   5527 root      20   0       0      0      0 I   0.0   0.0   0:02.75 kworker/u16:28-kcryptd/253:0
   5536 root      20   0       0      0      0 D   0.0   0.0   0:03.03 kworker/u16:37+phy0
   5778 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-mei_me
   6237 root      20   0       0      0      0 I   0.0   0.0   0:02.10 kworker/u16:0-kcryptd/253:0
   6407 dhruv     20   0 2940132  67544  51012 S   0.0   0.8   0:02.15 gjs
   6459 root      20   0       0      0      0 I   0.0   0.0   0:00.69 kworker/1:0-events
   6818 dhruv     20   0   18624   2484   2212 S   0.0   0.0   0:00.01 brave-browser-s
   6823 dhruv     20   0   17164   1036    944 S   0.0   0.0   0:00.00 cat
   6824 dhruv     20   0   17164   1048    960 S   0.0   0.0   0:00.00 cat
   6825 dhruv     20   0   32.5g 339516 165356 S   0.0   4.2   0:58.90 brave
   6827 dhruv     20   0   32.0g   3452   3216 S   0.0   0.0   0:00.00 chrome_crashpad
   6829 dhruv     20   0   32.0g   1688   1516 S   0.0   0.0   0:00.00 chrome_crashpad
   6835 dhruv     20   0   32.3g  68496  55700 S   0.0   0.8   0:00.04 brave
   6836 dhruv     20   0   32.3g  66464  53768 S   0.0   0.8   0:00.04 brave
   6838 dhruv     20   0   32.3g  17908   5220 S   0.0   0.2   0:00.07 brave
   6860 dhruv     20   0   32.7g 166912 105728 S   0.0   2.1   0:32.13 brave
   6861 dhruv     20   0   32.4g 115196  93144 S   0.0   1.4   0:17.94 brave
   6873 dhruv     20   0   32.3g  53536  37240 S   0.0   0.7   0:02.30 brave
   6891 dhruv     20   0 1124.5g 132488  85180 S   0.0   1.6   0:02.98 brave
   6929 dhruv     20   0 1124.5g 115940  82516 S   0.0   1.4   0:03.68 brave
   7008 dhruv     20   0   32.6g  86552  73184 S   0.0   1.1   0:00.42 brave
   7058 dhruv     20   0 1124.6g 211556 105828 S   0.0   2.6   0:32.90 brave
   7059 dhruv     20   0 1124.5g 227444 100792 S   0.0   2.8   0:32.21 brave
   7101 dhruv     20   0 1124.5g 152960  91748 S   0.0   1.9   0:06.78 brave
   7129 dhruv     20   0 3362620 306680 160712 S   0.0   3.8   1:45.13 firefox
   7288 dhruv     20   0 1124.5g 170164  96708 S   0.0   2.1   0:11.15 brave
   7304 dhruv     20   0  218248  39164  30508 S   0.0   0.5   0:01.72 Socket Process
